Month,Year,Rainfall,WPI
2,2015,30,52.04545454545455
3,2015,80,47.63636363636363
4,2015,140,42.737
5,2015,180,44.374545454545455
6,2015,200,47.97222222222222
7,2015,120,56.47222222222222
8,2015,80,50.56363636363637
9,2015,150,57.52272727272727
10,2015,150,55.25
11,2015,50,52.78454545454545
12,2015,20,53.611111111111114
1,2016,15,71.47500000000001
2,2016,30,87.72727272727273
3,2016,80,104.47916666666667
4,2016,140,106.46666666666665
5,2016,180,134.71875
6,2016,200,131.98214285714286
7,2016,120,126.04
8,2016,80,127.15333333333335
9,2016,150,121.0
10,2016,150,110.76923076923077
11,2016,50,112.2688888888889
12,2016,20,117.63636363636364
1,2017,15,121.95454545454545
2,2017,30,124.0
3,2017,80,117.66666666666667
4,2017,140,137.14285714285714
5,2017,180,114.5
6,2017,200,96.66916666666667
7,2017,120,103.16666666666667
8,2017,80,98.125
9,2017,150,87.82818181818182
10,2017,150,103.5225
11,2017,50,95.63833333333332
12,2017,20,56.072
1,2018,15,72.42875
2,2018,30,76.19222222222223
3,2018,80,36.0
4,2018,140,63.955999999999996
5,2018,180,84.32000000000001
6,2018,200,73.595
7,2018,120,75.935
8,2018,80,78.36666666666667
9,2018,150,82.018
10,2018,150,57.528571428571425
11,2018,50,63.452
12,2018,20,103.10000000000001
1,2019,15,77.35125
2,2019,30,65.92857142857143
3,2019,80,68.70833333333333
4,2019,140,67.172
5,2019,180,65.60333333333334
6,2019,200,93.07000000000001
7,2019,120,69.78555555555556
8,2019,80,227.78291666666667
9,2019,150,133.3746153846154
10,2019,150,207.89600000000002
11,2019,50,103.50238095238096
12,2019,20,136.77958333333333
1,2020,15,161.49947368421053
2,2020,30,41.49
3,2020,80,134.86863636363637
4,2020,140,45.41368421052632
5,2020,180,58.39958333333333
6,2020,200,158.214
7,2020,120,80.94055555555556
8,2020,80,71.8035
9,2020,150,65.4178947368421
10,2020,150,182.984
11,2020,50,195.37238095238095
12,2020,20,172.98642857142858
1,2021,15,109.06277777777777
2,2021,30,30.903333333333332
3,2021,80,52.58363636363637
4,2021,140,58.54083333333333
5,2021,180,52.0923076923077
6,2021,200,87.59357142857142
7,2021,120,42.66166666666667
8,2021,80,34.954375
9,2021,150,63.740624999999994
10,2021,150,55.038823529411765
11,2021,50,57.648
12,2021,20,60.95388888888889
1,2022,15,59.150000000000006
2,2022,30,80.9375
3,2022,80,42.275
4,2022,140,81.83266666666667
5,2022,180,74.28846153846153
6,2022,200,39.84058823529411
7,2022,120,48.818333333333335
8,2022,80,73.99
9,2022,150,19.33
10,2022,150,55.31999999999999
11,2022,50,95.14874999999999
12,2022,20,43.68833333333333
1,2023,15,90.068
2,2023,30,584.0107407407407
3,2023,80,103.94347826086955
4,2023,140,486.30791666666664
5,2023,180,724.2570588235294
6,2023,200,865.9345454545455
7,2023,120,98.70450000000001
